id,brand,description,calories,source
291302,,"Ice cream, vanilla (1 small ice cream cup)",248.4,usda
291303,,"Ice cream, vanilla (1 medium ice cream cup)",496.8,usda
291304,,"Ice cream, vanilla (1 large ice cream cup)",745.2,usda
291305,,"Ice cream, vanilla (1 cubic inch)",19.0,usda
291306,,"Ice cream, vanilla (1 individual container)",155.3,usda
291315,,"Ice cream, chocolate (1 cup)",291.6,usda
291316,,"Ice cream, chocolate (1 scoop)",259.2,usda
291317,,"Ice cream, chocolate (1 small ice cream cup)",259.2,usda
291318,,"Ice cream, chocolate (1 medium ice cream cup)",518.4,usda
291319,,"Ice cream, chocolate (1 large ice cream cup)",777.6,usda
291320,,"Ice cream, chocolate (1 cubic inch)",19.9,usda
291321,,"Ice cream, chocolate (1 individual container)",162.0,usda
291330,,"Ice cream, soft serve, vanilla (1 cup)",364.0,usda
291330,,"Ice cream, soft serve, vanilla (1 cup)",364.0,usda
291332,,"Ice cream, soft serve, chocolate (1 cup)",327.3,usda
291334,,"Gelato, vanilla (1 cup)",435.8,usda
291335,,"Gelato, vanilla (1 scoop)",398.4,usda
291336,,"Gelato, vanilla (1 small ice cream cup)",398.4,usda
291337,,"Gelato, vanilla (1 medium ice cream cup)",796.8,usda
291338,,"Gelato, vanilla (1 large ice cream cup)",1195.2,usda
291340,,"Gelato, chocolate (1 cup)",439.3,usda
291341,,"Gelato, chocolate (1 scoop)",401.6,usda
291342,,"Gelato, chocolate (1 small ice cream cup)",401.6,usda
291343,,"Gelato, chocolate (1 medium ice cream cup)",803.2,usda
291344,,"Gelato, chocolate (1 large ice cream cup)",1204.8,usda
291346,,"Ice cream bar, vanilla (1 bar)",268.5,usda
291347,,"Ice cream bar, vanilla (1 miniature)",179.0,usda
291348,,"Ice cream bar, vanilla (1 cup)",476.1,usda
291350,,"Ice cream bar, vanilla, chocolate coated (1 bar)",248.3,usda
291351,,"Ice cream bar, vanilla, chocolate coated (1 miniature)",165.5,usda
291357,,"Ice cream bar, chocolate (1 bar)",246.8,usda
291358,,"Ice cream bar, chocolate (1 miniature)",164.5,usda
291366,,"Ice cream cone, scooped, vanilla (1 cone)",268.8,usda
291368,,"Ice cream cone, scooped, vanilla, waffle cone (1 cone)",555.9,usda
291370,,Ice cream cone (1 cone),286.3,usda
291372,,"Ice cream cone, scooped, chocolate (1 cone)",280.0,usda
291374,,"Ice cream cone, scooped, chocolate, waffle cone (1 cone)",578.9,usda
291376,,"Ice cream cone, soft serve, vanilla (1 cone)",236.3,usda
291378,,"Ice cream cone, soft serve, chocolate (1 cone)",245.0,usda
291380,,"Ice cream cone, soft serve, vanilla, waffle cone (1 cone)",492.2,usda
291382,,"Ice cream cone, soft serve, chocolate, waffle cone (1 cone)",510.0,usda
